nb_shards,nb_requests,accuracy,retraining_time
10,0,0.7655527734976888,11.692515850067139
10,1,0.7655527734976888,0
10,2,0.7655527734976888,1.06430983543396
10,3,0.7655527734976888,10.058581113815308
10,4,0.7655688238315357,9.844495296478271
10,5,0.7655688238315357,3.688958168029785
10,6,0.7655206728299949,9.94243335723877
10,7,0.7655527734976888,10.926805257797241
10,8,0.7656169748330766,10.079158306121826
10,9,0.7701913199794556,11.175143480300903
10,10,0.770383923985619,8.726814031600952
10,11,0.7656651258346173,10.28168272972107
10,12,0.7655046224961479,11.39967131614685
10,13,0.7655527734976888,11.198036670684814
10,14,0.763177324088341,11.231880187988281
10,15,0.7655367231638418,11.884835004806519
10,16,0.7656811761684643,11.410444736480713
10,17,0.7686825885978429,11.161797046661377
10,18,0.7655046224961479,11.10165810585022
10,19,0.7576881099126862,11.652841806411743
10,20,0.7691961992809451,11.356876134872437
10,21,0.7636267334360555,11.109540700912476
10,22,0.7636427837699025,11.455580711364746
10,23,0.7697419106317411,11.400398254394531
10,24,0.7613636363636364,11.886791229248047
10,25,0.7656169748330766,11.426726579666138
