nb_shards,nb_requests,accuracy,retraining_time
20,0,0.7243997175141242,11.794734001159668
20,1,0.7243997175141242,0
20,2,0.7230033384694402,0.1642794609069824
20,3,0.7243836671802774,9.080780744552612
20,4,0.723067539804828,7.175600290298462
20,5,0.7243836671802774,7.259927272796631
20,6,0.7243836671802774,3.0881123542785645
20,7,0.7243997175141242,9.065260171890259
20,8,0.7248170261941448,3.263298273086548
20,9,0.7243676168464304,8.177810907363892
20,10,0.7244478685156651,8.375688314437866
20,11,0.7243836671802774,3.489424705505371
20,12,0.7243515665125835,10.634753227233887
20,13,0.7244478685156651,10.45865511894226
20,14,0.7226502311248074,10.3422269821167
20,15,0.724479969183359,11.092661619186401
20,16,0.7242552645095018,10.871636629104614
20,17,0.7254590395480226,10.005927801132202
20,18,0.7274653312788906,10.273326396942139
20,19,0.7263097072419107,10.638866662979126
20,20,0.7248812275295327,10.781888723373413
20,21,0.7243194658448896,10.969189882278442
20,22,0.7243676168464304,11.063339948654175
20,23,0.723613251155624,10.907335996627808
20,24,0.7214625064201335,11.156737565994263
20,25,0.7209649460708782,10.396929740905762
