nb_shards,nb_requests,accuracy,retraining_time
5,0,0.7916345659989728,22.1315815448761
5,1,0.7916345659989728,0
5,2,0.7916345659989728,13.70584774017334
5,3,0.791570364663585,15.505845308303831
5,4,0.791586414997432,20.61335778236389
5,5,0.7951335387776066,22.900296688079834
5,6,0.7916506163328197,23.217361211776733
5,7,0.7916185156651259,24.330182790756226
5,8,0.7916506163328197,24.186991453170776
5,9,0.791586414997432,20.53450870513916
5,10,0.7916185156651259,17.15243625640869
5,11,0.7916345659989728,22.368375062942505
5,12,0.7916506163328197,25.165634155273438
5,13,0.7916506163328197,24.61423134803772
5,14,0.7916024653312789,25.2646484375
5,15,0.7985041088854649,22.034834384918213
5,16,0.791570364663585,24.978050470352173
5,17,0.7916185156651259,23.258023738861084
5,18,0.8159989727786338,24.098722457885742
5,19,0.7916345659989728,24.562347173690796
5,20,0.8094183359013868,22.887974500656128
5,21,0.7916024653312789,21.20791983604431
5,22,0.791586414997432,20.372985363006592
5,23,0.7916506163328197,19.592406272888184
5,24,0.7916506163328197,17.22709059715271
5,25,0.7916185156651259,20.85280728340149
