nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9572419106317411,19.066476821899414
5,1,0.4823446327683616,0
5,2,0.4823446327683616,0
5,3,0.4823446327683616,0
5,4,0.4823446327683616,0
5,5,0.9572419106317411,0
5,6,0.9572419106317411,0
5,7,0.9572419106317411,0
5,8,0.9572419106317411,0
5,9,0.9572419106317411,2.833302497863769
5,10,0.9572419106317411,0
5,11,0.9572419106317411,0
5,12,0.9572419106317411,0
5,13,0.9572419106317411,0
5,14,0.9572419106317411,0
5,15,0.9572419106317411,0
5,16,0.9572419106317411,0
5,17,0.9572419106317411,0
5,18,0.9572419106317411,0
5,19,0.9572419106317411,0
5,20,0.9571295582948125,14.800092935562134
5,21,0.9571295582948125,0
5,22,0.9571295582948125,0
5,23,0.9571295582948125,0
5,24,0.9571295582948125,0
5,25,0.9570974576271186,21.61492085456848
